
Rk	team	categories	R1	R2	R3	R4	R5	R6	Pts	Spk	1sts	2nds
73	TEAM CHRIZZMAS TREE	Highschool	4th	3rd	3rd	3rd	2nd	2nd	7	882	0	2
74	MK23	Highschool	4th	2nd	3rd	3rd	4th	1st	7	876	1	1
75	Don Quixote	Highschool	4th	4th	2nd	3rd	1st	4th	6	896	1	1
76	Vme50	Open	4th	1st	3rd	2nd	4th	4th	6	892	1	1
77	Boston Celtics &amp; Miami Heat Fans	Highschool	4th	1st	3rd	3rd	4th	3rd	6	890	1	0
78	Eric &amp; Jeffrey	Highschool	3rd	4th	2nd	3rd	3rd	3rd	6	882	0	1
79	jocular beings	Highschool	4th	4th	3rd	2nd	3rd	2nd	6	879	0	2
80	Peppa Pig Supremacy	Highschool	3rd	4th	1st	4th	2nd	4th	6	874	1	1
81	HZCU A	Open	4th	3rd	2nd	4th	4th	1st	6	854	1	1
82	Adela &amp; Johnny	Highschool	3rd	2nd	4th	2nd	4th	4th	5	896	0	2
83	Nova Hangzhou Juicy Petro Painters	Highschool	3rd	3rd	4th	4th	2nd	3rd	5	885	0	1
84	MaRuiculous	Open	4th	2nd	2nd	4th	4th	4th	4	885	0	2
85	Richard &amp; Kuei	Highschool	4th	3rd	2nd	4th	4th	3rd	4	870	0	1
86	Nova Hangzhou Budda Feminists	Highschool	4th	3rd	4th	1st	4th	4th	4	869	1	0
87	Darren &amp; Shawn	Highschool	4th	4th	4th	4th	3rd	2nd	3	863	0	1
88	JJCZ	Highschool	4th	3rd	4th	3rd	4th	4th	2	849	0	0
89	Nova Hangzhou Shaemoor	Highschool	3rd	4th	—	—	—	—	1	289	0	0
90	Swing 1	Open	4th	4th	—	—	—	—	0	287	0	0
91	swing 3	Open	4th	4th	—	—	—	—	0	284	0	0
92	Swing 2	Open	4th	4th	—	—	—	—	0	264	0	0


Rk	name	category	team	R1	R2	R3	R4	R5	R6	Total	Stdev	Avg
1	Ploopy		JANKY DANKY	80	82	84	82	83	81	492	1.29	82.00
2	Naveen		JANKY DANKY	80	81	84	81	83	82	491	1.34	81.83
3	Sophie Shead		Shead and Stephenson	80	79	83	80	83	78	483	1.89	80.50
4	Calvin Horne		OGres with Layers	79	80	80	81	82	78	480	1.29	80.00
5	Ellie Stephenson		Shead and Stephenson	79	80	83	79	82	77	480	2.00	80.00
6	Brandon Park	Highschool	CWSDC 7	80	78	81	78	81	81	479	1.34	79.83
7	Tengku Omar Azfar Haqqani		CHRONIC PAIN GWORLIES	82	79	76	77	80	85	479	3.02	79.83
8	Rogelio Largo		Ateneo LN	82	80	82	74	77	83	478	3.20	79.67
9	Clement Tsao	Highschool	CWSDC 3	79	82	79	79	78	79	476	1.25	79.33
10	Hosei Kishida	Highschool	CWSDC 7	79	77	82	77	80	80	475	1.77	79.17
11=	Alicia Chen	Highschool	CWSDC 6	78	78	79	79	81	79	474	1.00	79.00
11=	Nina Tomas		OGres with Layers	79	77	79	80	80	79	474	1.00	79.00
13=	Bo Xin Zhao	Highschool	CWSDC 1	79	81	78	79	78	78	473	1.07	78.83
13=	Grace Chen	Highschool	CWSDC 1	80	80	78	79	77	79	473	1.07	78.83
15	Barron Ren	Highschool	CWSDC 3	79	82	78	79	77	78	473	1.57	78.83
16	Thea Madrilejo		CHRONIC PAIN GWORLIES	80	79	76	76	79	82	472	2.13	78.67
17	Miranda Wu	Highschool	CWSDC 5	77	76	79	81	83	76	472	2.62	78.67
18	Terena Ines Neri		Ateneo LN	80	80	79	74	77	81	471	2.36	78.50
19	Ngô Minh Kiên Jack		DAV Jägerbomb	78	78	78	79	77	78	468	0.58	78.00
20	Vũ Đức Hùng Allen		DAV Jägerbomb	78	78	78	80	77	77	468	1.00	78.00
21	Donner Tang		UM TH as Chimpanzees	78	76	77	78	81	78	468	1.53	78.00
22	Vincent Ying	Highschool	CWSDC 9	78	79	78	75	79	78	467	1.34	77.83
23	Alex Wang	Highschool	overrated	80	77	79	79	76	76	467	1.57	77.83
24=	Kai Tsai	Highschool	CWSDC 6	77	76	78	78	79	78	466	0.94	77.67
24=	Jolene Ren	Highschool	CWSDC 10	78	79	78	77	76	78	466	0.94	77.67
26	Robert Miles Chong	Highschool	CWSDC 2	79	77	75	78	78	79	466	1.37	77.67
27=	Klaus Xiao		Nova Hangzhou Patrick Star	77	79	78	79	74	79	466	1.80	77.67
27=	Arthur Qu	Highschool	CWSDC 8	77	76	81	76	79	77	466	1.80	77.67
29	Nguyễn Hà Phương Jessica	Highschool	Burger King	77	82	75	77	79	76	466	2.29	77.67
30	Teresa Chen	Highschool	CWSDC 10	78	78	77	78	76	78	465	0.76	77.50
31	Mackenzie Zhu	Highschool	Master Debaters	75	75	80	78	79	78	465	1.89	77.50
32	Ruisi He	Highschool	Unicorn	77	78	76	78	79	76	464	1.11	77.33
33	Lilian Song	Highschool	overrated	78	77	80	77	76	76	464	1.37	77.33
34=	Sophia Wu	Highschool	CWSDC 14	80	78	77	76	75	78	464	1.60	77.33
34=	Myra Mehta	Highschool	Unstoppable RAJA	78	75	77	76	80	78	464	1.60	77.33
34=	Vũ Minh Khang Kevin	Highschool	Burger King	78	80	75	77	78	76	464	1.60	77.33
37	Pei Jin Zhou	Highschool	CWSDC 14	80	78	76	77	73	80	464	2.43	77.33
38	Haesol Park	Highschool	We cant think of a team name :)	75	78	75	75	79	82	464	2.62	77.33
39	Brandon Ma	Highschool	CWSDC 4	79	81	79	72	78	75	464	2.98	77.33
40	Chris Cai	Highschool	CWSDC 4	80	81	79	72	77	75	464	3.09	77.33
41	Lucy Du	Highschool	CWSDC 9	77	78	77	75	78	78	463	1.07	77.17
42	Martin Huang	Highschool	CWSDC 5	76	75	78	78	80	76	463	1.67	77.17
43	Benjamin Duan	Highschool	Master Debaters	75	75	80	77	79	77	463	1.86	77.17
44	Brooke Lai	Highschool	YISS Queens	79	76	73	79	78	78	463	2.11	77.17
45	Chingwei	Highschool	We cant think of a team name :)	76	79	75	74	79	80	463	2.27	77.17
46=	Daniel Martins		SUSJ	77	76	79	77	78	75	462	1.29	77.00
46=	Phan Thế Việt	Highschool	Creed III	78	79	77	76	77	75	462	1.29	77.00
48	Janani Ayengar	Highschool	Unstoppable RAJA	77	75	76	76	79	79	462	1.53	77.00
49	Martina Wu	Highschool	CWSDC 8	78	73	79	77	78	77	462	1.91	77.00
50	Sompoom Sunperavong		Nova Hangzhou Spicy Thai Hotpot	76	76	77	76	75	82	462	2.31	77.00
51	Ziyu Yang		SISU A	76	78	78	78	76	75	461	1.21	76.83
52	Fatima Khan		DKU A	77	77	79	74	77	77	461	1.46	76.83
53	Yutong Guo		Cheerful News Bad Commentary	79	75	76	79	77	75	461	1.67	76.83
54	Francois Brits		Karl Markets	75	78	80	78	74	76	461	2.03	76.83
55=	James Li	Highschool	help us	75	77	78	77	77	76	460	0.94	76.67
55=	Mollie Mei	Highschool	belligerent badgers	77	76	75	78	77	77	460	0.94	76.67
57	Ithuriel Shen		Nova Hangzhou Westlake Fish with Po	75	76	78	78	76	77	460	1.11	76.67
58=	Hanjing Wang	Highschool	CWSDC 2	78	77	73	78	77	77	460	1.70	76.67
58=	Eze Nwakuba		Kate &amp; Eze	78	79	77	77	75	74	460	1.70	76.67
58=	Qiyang Huang		Cheerful News Bad Commentary	78	75	75	79	78	75	460	1.70	76.67
58=	Minh-Khoi Dam		DKU A	78	77	77	73	77	78	460	1.70	76.67
62	Claire Lee	Highschool	YISS Queens	78	76	73	78	77	78	460	1.80	76.67
63	Patrick Xu		Nova Hangzhou Patrick Star	76	79	77	77	73	78	460	1.89	76.67
64	Kevin Shi	Highschool	CWSDC 11	75	73	77	79	78	78	460	2.05	76.67
65	Florence Choy		Lifeless adults	80	80	75	76	76	73	460	2.56	76.67
66	Albert Zhang	Highschool	CWSDC 11	75	72	77	79	77	80	460	2.62	76.67
67	Koki Kishida	Highschool	help us	76	76	77	77	77	76	459	0.50	76.50
68	Angelina Li	Highschool	Unicorn	76	77	76	76	78	76	459	0.76	76.50
69	Erica Li	Highschool	CWSDC 15	75	76	77	77	76	78	459	0.96	76.50
70	Kystal Wang	Highschool	CWSDC 15	76	75	77	76	76	78	458	0.94	76.33
71=	Carl Fang	Highschool	Mars CJ	77	77	77	77	76	74	458	1.11	76.33
71=	Rachel Cheong		UM TH as Chimpanzees	77	74	76	77	77	77	458	1.11	76.33
73	Becky Lam		Lifeless adults	80	78	75	76	76	73	458	2.21	76.33
74	Daniel Yeung		Imperial Inquisitors	73	76	74	79	79	77	458	2.29	76.33
75	Jaxon Xie	Highschool	Mars CJ	76	77	75	78	77	74	457	1.34	76.17
76=	Leah Del Fierro	Highschool	CWSDC 12	77	74	78	78	73	77	457	1.95	76.17
76=	Kelly Shen		SUSJ	77	74	78	78	77	73	457	1.95	76.17
78	James Yin	Highschool	Shinzou Wo Sasageyo	76	76	74	77	77	76	456	1.00	76.00
79=	Jeven Deng		Buy me Friday	78	76	74	75	76	77	456	1.29	76.00
79=	Owen Wu	Highschool	Shinzou Wo Sasageyo	75	77	74	78	76	76	456	1.29	76.00
81	Sophia Gong	Highschool	CWSDC 12	76	74	79	78	73	76	456	2.08	76.00
82	Hannah Dai	Highschool	Grass, a kind of plant	73	74	77	77	80	75	456	2.31	76.00
83	Rebecca Zhou		Shanghai Emotionless PPT Machine	77	77	75	80	70	77	456	3.06	76.00
84=	Ceci Yilan Qin		go to K11 with us	74	76	75	75	77	78	455	1.34	75.83
84=	David Hong	Highschool	belligerent badgers	76	73	76	77	77	76	455	1.34	75.83
86	Iris Yip		Buy me Friday	78	77	73	75	76	76	455	1.57	75.83
87=	Ida Joung	Highschool	CWSDC 13	78	76	78	74	72	77	455	2.19	75.83
87=	Arianna Xie	Highschool	Grass, a kind of plant	72	75	77	77	79	75	455	2.19	75.83
89	Gwen Jiang		Imperial Inquisitors	73	76	73	80	77	76	455	2.41	75.83
90	Bill Cho	Highschool	Weight, I Got This Won	76	74	76	77	76	75	454	0.94	75.67
91=	Fuqin Frank Lian	Highschool	Prone to Pneumonoultramicroscopicsi	77	77	76	75	76	73	454	1.37	75.67
91=	Tạ Huy Hiếu		Creed III	77	77	76	75	76	73	454	1.37	75.67
93	Ekaterina Bogma		Kate &amp; Eze	75	78	76	76	76	73	454	1.49	75.67
94	Dasun de Silva		Nova Hangzhou Spicy Thai Hotpot	76	77	75	73	74	79	454	1.97	75.67
95	Jamy Huang		DoMynating	77	75	71	78	75	78	454	2.43	75.67
96=	Sophia Liu	Highschool	Elisa &amp; Sophia	75	75	78	74	76	75	453	1.26	75.50
96=	Yueqian Jiang	Highschool	We Need A Break!	77	73	76	76	76	75	453	1.26	75.50
98=	Lucas Chen	Highschool	Holy squishy eyeballs	74	76	73	77	77	76	453	1.50	75.50
98=	Madelyn Li	Highschool	OOMPA LOOMPA🧌	77	74	77	73	76	76	453	1.50	75.50
100	Eric Chen	Highschool	Karl Markets	74	77	78	76	73	75	453	1.71	75.50
101	Yezi Zhou		Shanghai Emotionless PPT Machine	77	76	75	78	71	76	453	2.22	75.50
102	Xizhe Yang	Highschool	chestnut	75	76	75	76	74	76	452	0.75	75.33
103	Mimi Yao	Highschool	chestnut	75	76	75	77	74	75	452	0.94	75.33
104	Cici Chen	Highschool	We&#x27;re cirisly slaying	74	77	75	75	77	74	452	1.25	75.33
105	Stella Sihan Yao		go to K11 with us	74	74	74	76	77	77	452	1.37	75.33
106	Daisy Wang	Highschool	Veggie nuts	74	76	75	78	73	76	452	1.60	75.33
107	Cassie Zheng	Highschool	CWSDC 13	77	76	76	74	72	77	452	1.80	75.33
108	Ariana Shen	Highschool	Veggie nuts	75	77	74	78	72	76	452	1.97	75.33
109	Janelle Lin	Highschool	Heehee	71	74	74	77	79	77	452	2.62	75.33
110=	Amy Lin	Highschool	Don&#x27;t let me name our team	75	74	76	75	76	75	451	0.69	75.17
110=	Avy Lee	Highschool	Weight, I Got This Won	76	74	75	76	75	75	451	0.69	75.17
112	Melanie Wu	Highschool	Holy squishy eyeballs	75	75	73	76	76	76	451	1.07	75.17
113	Chenglin Christopher Yu	Highschool	Prone to Pneumonoultramicroscopicsi	76	77	75	75	75	73	451	1.21	75.17
114=	Chloe Ma	Highschool	OOMPA LOOMPA🧌	76	74	76	73	75	77	451	1.34	75.17
114=	Ava Tso	Highschool	We Need A Break!	76	73	74	77	76	75	451	1.34	75.17
116	Baoqi Shen		Carry	75	72	77	76	75	76	451	1.57	75.17
117	Doris Yang		DoMynating	77	75	72	77	73	77	451	2.03	75.17
118=	Liris Zheng	Highschool	We&#x27;re cirisly slaying	73	77	74	75	76	75	450	1.29	75.00
118=	Elsa Guo	Highschool	Don&#x27;t let me name our team	75	73	77	75	76	74	450	1.29	75.00
120=	Avari Ying Tung		Listen Up	72	75	76	73	77	77	450	1.91	75.00
120=	Kai Zhang		UM Joker and Homeless	76	71	75	75	76	77	450	1.91	75.00
122	Elisa Zhang	Highschool	Elisa &amp; Sophia	75	74	77	74	74	75	449	1.07	74.83
123	Leo Chen	Highschool	Don Quixote	75	72	73	77	78	74	449	2.11	74.83
124	Adela Wang	Highschool	Adela &amp; Johnny	74	77	74	74	75	74	448	1.11	74.67
125	Johnny Jiang	Highschool	Adela &amp; Johnny	74	77	74	73	76	74	448	1.37	74.67
126	Caitlin Ma	Highschool	My little pony ROCKS	75	76	75	74	78	70	448	2.43	74.67
127	Michael Sun		UM Joker and Homeless	75	72	74	74	76	76	447	1.38	74.50
128	Zen Xia	Highschool	Don Quixote	76	71	74	76	76	74	447	1.80	74.50
129	Jackson Wang	Highschool	Boston Celtics &amp; Miami Heat Fans	72	75	75	74	75	75	446	1.11	74.33
130	Wu Yiliangmu	Highschool	Super Team	72	75	73	74	77	75	446	1.60	74.33
131	Ruohan Zhuang		Vme50	74	76	76	75	75	70	446	2.05	74.33
132	Yue Yao		Vme50	74	77	75	76	75	69	446	2.56	74.33
133	Wolfgang Fung	Highschool	Heehee	70	73	74	75	79	75	446	2.69	74.33
134	Shine Liu	Highschool	My little pony ROCKS	76	76	74	74	78	68	446	3.14	74.33
135	Cara Li		Wave Waver	76	75	72	77	73	72	445	1.95	74.17
136	Millie Shao		Pearl Jezap Pudding River	76	71	77	72	76	73	445	2.27	74.17
137	Anika Kristin Cajigal	Highschool	&quot;Is this a sign?&quot;	76	74	78	72	76	69	445	2.97	74.17
138	Meredith Wang		Rising from the Ashes	74	67	75	77	76	76	445	3.34	74.17
139	Rachel Chen	Highschool	Undefined	68	75	79	78	72	73	445	3.72	74.17
140	Paul Wu	Highschool	Boston Celtics &amp; Miami Heat Fans	71	75	75	73	75	75	444	1.53	74.00
141	Serena Xie		Pearl Jezap Pudding River	78	71	76	72	75	72	444	2.52	74.00
142	Zephyr Fan		Rising from the Ashes	73	67	75	76	76	77	444	3.37	74.00
143	Yufei Cai		Listen Up	73	74	74	73	76	73	443	1.07	73.83
144	Razeena Hsu		MaRuiculous	75	75	75	73	73	72	443	1.21	73.83
145	William Xu	Highschool	Nova Hangzhou Juicy Petro Painters	74	76	71	73	76	73	443	1.77	73.83
146	Yinyin Zhao		Wave Waver	76	75	70	76	74	72	443	2.19	73.83
147	Benjamin Ye	Highschool	Undefined	68	76	77	77	72	73	443	3.24	73.83
148	Jamie Carelle Antonio	Highschool	&quot;Is this a sign?&quot;	77	75	77	70	76	68	443	3.53	73.83
149	Michelle Ma		MaRuiculous	75	74	75	73	73	72	442	1.11	73.67
150=	Marco Qin	Highschool	Nova Hangzhou Juicy Petro Painters	75	76	70	73	76	72	442	2.21	73.67
150=	Zeyi Zhang	Highschool	Super Team	70	74	74	75	77	72	442	2.21	73.67
152=	Eric li	Highschool	Eric &amp; Jeffrey	72	75	72	73	74	75	441	1.26	73.50
152=	Jeffrey Hong洪佳毅	Highschool	Eric &amp; Jeffrey	72	75	72	73	74	75	441	1.26	73.50
154	Ryan Zhang	Highschool	some random thing	74	75	75	73	74	70	441	1.71	73.50
155	Iris Tan	Highschool	TEAM CHRIZZMAS TREE	74	73	70	74	74	76	441	1.80	73.50
156	Izzy Liang	Highschool	TEAM CHRIZZMAS TREE	74	72	70	74	75	76	441	1.98	73.50
157	Macario Fang	Highschool	jocular beings	74	73	73	73	74	73	440	0.47	73.33
158	Kingston Ye	Highschool	jocular beings	74	73	73	72	74	73	439	0.69	73.17
159	Katy Lam	Highschool	MK23	70	75	72	74	74	74	439	1.67	73.17
160	Theodore Wang	Highschool	Peppa Pig Supremacy	72	73	75	74	73	70	437	1.57	72.83
161	Michelle Ngai	Highschool	MK23	70	73	72	74	75	73	437	1.57	72.83
162	Matthew Ye	Highschool	Peppa Pig Supremacy	73	73	75	74	73	69	437	1.86	72.83
163	Ashley Song	Highschool	Nova Hangzhou Budda Feminists	73	74	70	74	71	74	436	1.60	72.67
164	Yatho Hsu	Highschool	some random thing	73	73	75	73	73	69	436	1.80	72.67
165	Kuei Chen	Highschool	Richard &amp; Kuei	75	73	75	73	73	66	435	3.04	72.50
166	Richard Wong	Highschool	Richard &amp; Kuei	74	73	76	72	74	66	435	3.15	72.50
167	Yolanda Li	Highschool	Nova Hangzhou Budda Feminists	73	74	68	72	72	74	433	2.03	72.17
168	Darren Xue	Highschool	Darren &amp; Shawn	72	75	72	70	75	69	433	2.27	72.17
169	Lu Yongtong		HZCU A	74	68	74	73	73	70	432	2.24	72.00
170	Shawn Li	Highschool	Darren &amp; Shawn	72	75	72	69	75	67	430	2.92	71.67
171	Jerry Jiang	Highschool	JJCZ	75	74	68	71	74	66	428	3.35	71.33
172	Jiang Yurou		HZCU A	72	65	74	73	70	68	422	3.09	70.33
173	Clark Zhao	Highschool	JJCZ	74	73	66	69	74	65	421	3.72	70.17
174	Ann Zhang		Nova Hangzhou Westlake Fish with Po	—	76	76	79	74	77	382	1.62	76.40
175	Nina Zeng		SISU A	77	77	—	—	77	76	307	0.43	76.75
176	Zhirui Li		Carry	75	—	—	—	75	76	226	0.47	75.33
177	Oscar Zhang	Highschool	Nova Hangzhou Shaemoor	73	72	—	—	—	—	145	0.50	72.50
178	Speaker 1		Swing 1	72	72	—	—	—	—	144	0.00	72.00
179	Speaker 2		swing 3	71	71	—	—	—	—	142	0.00	71.00
180	Speaker 1		Swing 2	69	64	—	—	—	—	133	2.50	66.50
181	Speaker 2		Swing 1	—	72	—	—	—	—	72	0.00	72.00
182	Speaker 1		swing 3	—	71	—	—	—	—	71	0.00	71.00
183	Speaker 2		Swing 2	70	—	—	—	—	—	70	0.00	70.00
184	Kenneth Huang	Highschool	Nova Hangzhou Shaemoor	—	—	—	—	—	—	—	—	—


team	result	side	adjudicators
CWSDC 12	1st	Closing Government	Jordyn GibsonⒸ
Peppa Pig Supremacy	3rd	Opening Government	Jordyn GibsonⒸ
Don&#x27;t let me name our team	2nd	Opening Opposition	Jordyn GibsonⒸ
Super Team	4th	Closing Opposition	Jordyn GibsonⒸ
HZCU A	4th	Closing Opposition	Maeca Czarina PansensoyⒸ
DoMynating	3rd	Opening Government	Maeca Czarina PansensoyⒸ
Buy me Friday	1st	Opening Opposition	Maeca Czarina PansensoyⒸ
Unstoppable RAJA	2nd	Closing Government	Maeca Czarina PansensoyⒸ
Nova Hangzhou Budda Feminists	4th	Closing Government	Kithmina HewageⒸ
CWSDC 3	1st	Closing Opposition	Kithmina HewageⒸ
Holy squishy eyeballs	2nd	Opening Opposition	Kithmina HewageⒸ
Adela &amp; Johnny	3rd	Opening Government	Kithmina HewageⒸ
CWSDC 13	1st	Opening Opposition	Jodi Aedrienne L. BengzonⒸ
TEAM CHRIZZMAS TREE	4th	Closing Opposition	Jodi Aedrienne L. BengzonⒸ
&quot;Is this a sign?&quot;	2nd	Opening Government	Jodi Aedrienne L. BengzonⒸ
chestnut	3rd	Closing Government	Jodi Aedrienne L. BengzonⒸ
CWSDC 15	1st	Closing Government	Daniella Louise Simbre BarbacenaⒸ
some random thing	2nd	Opening Opposition	Daniella Louise Simbre BarbacenaⒸ
Boston Celtics &amp; Miami Heat Fans	4th	Closing Opposition	Daniella Louise Simbre BarbacenaⒸ
Grass, a kind of plant	3rd	Opening Government	Daniella Louise Simbre BarbacenaⒸ
Nova Hangzhou Juicy Petro Painters	3rd	Closing Government	Srijan PoudelⒸ
Vme50	4th	Opening Government	Srijan PoudelⒸ
JANKY DANKY	1st	Opening Opposition	Srijan PoudelⒸ
SUSJ	2nd	Closing Opposition	Srijan PoudelⒸ
help us	2nd	Opening Government	Marco Giorgione DavaⒸ
Eric &amp; Jeffrey	3rd	Opening Opposition	Marco Giorgione DavaⒸ
Creed III	1st	Closing Government	Marco Giorgione DavaⒸ
swing 3	4th	Closing Opposition	Marco Giorgione DavaⒸ
CWSDC 4	2nd	Closing Opposition	Asif MehediⒸ
CWSDC 8	3rd	Opening Opposition	Asif MehediⒸ
Lifeless adults	1st	Closing Government	Asif MehediⒸ
Swing 2	4th	Opening Government	Asif MehediⒸ
Nova Hangzhou Spicy Thai Hotpot	2nd	Opening Government	Luis Rafael N. GarciaⒸ
CWSDC 11	3rd	Closing Opposition	Luis Rafael N. GarciaⒸ
We&#x27;re cirisly slaying	4th	Opening Opposition	Luis Rafael N. GarciaⒸ
Kate &amp; Eze	1st	Closing Government	Luis Rafael N. GarciaⒸ
My little pony ROCKS	1st	Opening Government	Ian QiuⒸ
